,Close
2020-12-24,1144.06
2020-12-28,1158.43
2020-12-29,1160.04
2020-12-30,1161.41
2020-12-31,1155.58
2021-01-01,1160.35
2021-01-04,1175.66
2021-01-05,1172.75
2021-01-06,1163.83
2021-01-07,1181.11
2021-01-08,1198.44
2021-01-11,1214.52
2021-01-12,1206.56
2021-01-13,1204.15
2021-01-14,1209.46
2021-01-15,1198.27
2021-01-18,1178.6
2021-01-19,1195.88
2021-01-20,1200.01
2021-01-21,1178.11
2021-01-22,1161.05
2021-01-25,1136.53
2021-01-27,1125.97
2021-01-28,1138.82
2021-01-29,1142.88
2021-02-01,1161.38
2021-02-02,1178.09
2021-02-03,1179.07
2021-02-04,1177.97
2021-02-05,1169.85
2021-02-08,1174.99
2021-02-09,1171.59
2021-02-10,1170.53
2021-02-11,1190.11
2021-02-12,1205.22
2021-02-15,1202.96
2021-02-16,1196.27
2021-02-17,1194.81
2021-02-18,1194.01
2021-02-19,1187.67
2021-02-22,1176.52
2021-02-23,1177.27
2021-02-24,1208.63
2021-02-25,1214.69
2021-02-26,1200.83
2021-03-01,1208.65
2021-03-02,1203.55
2021-03-03,1237.39
2021-03-04,1233.2
2021-03-05,1217.8
2021-03-08,1219.57
2021-03-09,1208.23
2021-03-10,1210.55
2021-03-12,1206.69
2021-03-15,1210.24
2021-03-16,1229.58
2021-03-17,1215.49
2021-03-18,1200.11
2021-03-19,1227.76
2021-03-22,1214.7
2021-03-23,1219.23
2021-03-24,1189.09
2021-03-25,1150.87
2021-03-26,1160.22
2021-03-30,1145.87
2021-03-31,1132.7
2021-04-01,1152.64
2021-04-05,1131.94
2021-04-06,1153.31
2021-04-07,1176.63
2021-04-08,1199.19
2021-04-09,1199.57
2021-04-12,1149.55
2021-04-13,1148.49
2021-04-15,1159.87
2021-04-16,1178.89
2021-04-19,1154.83
2021-04-20,1156.11
2021-04-22,1165.79
2021-04-23,1165.09
2021-04-26,1188.81
2021-04-27,1213.71
2021-04-28,1213.8
2021-04-29,1211.48
2021-04-30,1198.13
2021-05-03,1200.67
2021-05-04,1191.84
2021-05-05,1199.51
2021-05-06,1221.63
2021-05-07,1228.24
2021-05-10,1257.76
2021-05-11,1266.23
2021-05-12,1261.92
2021-05-14,1249.01
2021-05-17,1268.12
2021-05-18,1284.38
2021-05-19,1294.67
2021-05-20,1286.79
2021-05-21,1304.46
2021-05-24,1310.79
2021-05-25,1296.62
2021-05-26,1304.39
2021-05-27,1308.52
2021-05-28,1339.02
2021-05-31,1352.17
2021-06-01,1334.53
2021-06-02,1338.68
2021-06-03,1355.82
2021-06-04,1366.13
2021-06-07,1398.1
2021-06-08,1401.98
2021-06-09,1373.39
2021-06-10,1398.41
2021-06-11,1402.32
2021-06-14,1405.55
2021-06-15,1417.92
2021-06-16,1405.86
2021-06-17,1387.02
2021-06-18,1374.96
2021-06-21,1377.47
2021-06-22,1368.65
2021-06-23,1367.26
2021-06-24,1373.45
2021-06-25,1377.58
2021-06-28,1388.5
2021-06-29,1381.11
2021-06-30,1378.37
2021-07-01,1381.02
2021-07-02,1404.71
2021-07-05,1417.94
2021-07-06,1420.87
2021-07-07,1437.87
2021-07-08,1441.64
2021-07-09,1458.88
2021-07-12,1470.74
2021-07-13,1532.02
2021-07-14,1565.4
2021-07-15,1606.56
2021-07-16,1650.15
2021-07-19,1682.77
2021-07-20,1637.0
2021-07-22,1628.25
2021-07-23,1605.83
2021-07-26,1615.4
2021-07-27,1601.64
2021-07-28,1589.55
2021-07-29,1603.98
2021-07-30,1603.4
2021-08-02,1636.39
2021-08-03,1628.96
2021-08-04,1610.28
2021-08-05,1599.71
2021-08-06,1582.28
2021-08-09,1560.88
2021-08-10,1526.71
2021-08-11,1515.69
2021-08-12,1541.36
2021-08-13,1536.09
2021-08-16,1529.82
2021-08-17,1531.04
2021-08-18,1538.24
2021-08-20,1507.35
2021-08-23,1476.16
2021-08-24,1511.93
2021-08-25,1513.51
2021-08-26,1533.86
2021-08-27,1541.14
2021-08-30,1611.04
2021-08-31,1626.13
2021-09-01,1650.02
2021-09-02,1654.74
2021-09-03,1659.87
2021-09-06,1677.05
2021-09-07,1661.04
2021-09-08,1699.65
2021-09-09,1717.32
2021-09-13,1720.21
2021-09-14,1711.5
2021-09-15,1721.43
2021-09-16,1735.3
2021-09-17,1713.93
2021-09-20,1676.38
2021-09-21,1665.84
2021-09-22,1676.73
2021-09-23,1691.28
2021-09-24,1678.36
