,Close
2020-12-24,13156.59
2020-12-28,13266.28
2020-12-29,13333.44
2020-12-30,13321.19
2020-12-31,13374.72
2021-01-01,13562.05
2021-01-04,13792.85
2021-01-05,13896.69
2021-01-06,13935.9
2021-01-07,13981.54
2021-01-08,14058.52
2021-01-11,14017.37
2021-01-12,14008.71
2021-01-13,13944.64
2021-01-14,13926.85
2021-01-15,13738.01
2021-01-18,13505.34
2021-01-19,13631.77
2021-01-20,13693.93
2021-01-21,13671.08
2021-01-22,13452.65
2021-01-25,13449.02
2021-01-27,13167.37
2021-01-28,13117.74
2021-01-29,13011.14
2021-02-01,13286.52
2021-02-02,13513.76
2021-02-03,13599.89
2021-02-04,13687.65
2021-02-05,13553.71
2021-02-08,13624.94
2021-02-09,13824.05
2021-02-10,13834.42
2021-02-11,14101.48
2021-02-12,14155.16
2021-02-15,14250.55
2021-02-16,14451.8
2021-02-17,14425.59
2021-02-18,14522.62
2021-02-19,14414.2
2021-02-22,14341.49
2021-02-23,14522.89
2021-02-24,14630.98
2021-02-25,14880.17
2021-02-26,14811.93
2021-03-01,15277.71
2021-03-02,15523.89
2021-03-03,15789.46
2021-03-04,15809.43
2021-03-05,15549.8
2021-03-08,15512.21
2021-03-09,15422.56
2021-03-10,15556.19
2021-03-12,15562.54
2021-03-15,15455.13
2021-03-16,15485.72
2021-03-17,15230.24
2021-03-18,14940.28
2021-03-19,15209.43
2021-03-22,15375.56
2021-03-23,15531.54
2021-03-24,15344.26
2021-03-25,15212.22
2021-03-26,15375.05
2021-03-30,15712.39
2021-03-31,15749.89
2021-04-01,16042.09
2021-04-05,15794.38
2021-04-06,16297.14
2021-04-07,16704.07
2021-04-08,16850.93
2021-04-09,16855.02
2021-04-12,16133.54
2021-04-13,16213.81
2021-04-15,16276.78
2021-04-16,16474.22
2021-04-19,16143.73
2021-04-20,16122.28
2021-04-22,16366.91
2021-04-23,16473.29
2021-04-26,16827.47
2021-04-27,17495.14
2021-04-28,17568.92
2021-04-29,17590.25
2021-04-30,17691.26
2021-05-03,17845.2
2021-05-04,17463.24
2021-05-05,17699.76
2021-05-06,17828.51
2021-05-07,17580.3
2021-05-10,17637.67
2021-05-11,17882.6
2021-05-12,17928.07
2021-05-14,17667.62
2021-05-17,17771.46
2021-05-18,18014.34
2021-05-19,17980.64
2021-05-20,18063.18
2021-05-21,18102.04
2021-05-24,18294.52
2021-05-25,18255.02
2021-05-26,18321.13
2021-05-27,18312.79
