,Close
2020-12-24,829.53
2020-12-28,833.69
2020-12-29,841.15
2020-12-30,842.86
2020-12-31,850.2
2021-01-01,858.38
2021-01-04,872.63
2021-01-05,877.57
2021-01-06,884.5
2021-01-07,879.18
2021-01-08,879.04
2021-01-11,874.19
2021-01-12,877.06
2021-01-13,872.93
2021-01-14,899.16
2021-01-15,884.98
2021-01-18,869.01
2021-01-19,876.31
2021-01-20,875.17
2021-01-21,875.79
2021-01-22,862.16
2021-01-25,854.15
2021-01-27,848.22
2021-01-28,840.45
2021-01-29,847.61
2021-02-01,849.88
2021-02-02,861.84
2021-02-03,870.14
2021-02-04,875.09
2021-02-05,883.58
2021-02-08,899.85
2021-02-09,892.8
2021-02-10,891.38
2021-02-11,889.76
2021-02-12,900.89
2021-02-15,900.74
2021-02-16,899.17
2021-02-17,907.73
2021-02-18,918.41
2021-02-19,908.57
2021-02-22,904.41
2021-02-23,908.76
2021-02-24,918.88
2021-02-25,945.42
2021-02-26,938.1
2021-03-01,975.94
2021-03-02,1004.88
2021-03-03,1006.73
2021-03-04,1015.07
2021-03-05,996.71
2021-03-08,1043.85
2021-03-09,1022.92
2021-03-10,1030.55
2021-03-12,1023.07
2021-03-15,993.8
2021-03-16,1003.81
2021-03-17,989.87
2021-03-18,962.12
2021-03-19,977.15
2021-03-22,991.74
2021-03-23,985.22
2021-03-24,960.86
2021-03-25,942.15
2021-03-26,955.99
2021-03-30,959.57
2021-03-31,951.75
2021-04-01,977.04
2021-04-05,944.54
2021-04-06,947.13
2021-04-07,956.12
2021-04-08,961.92
2021-04-09,958.68
2021-04-12,911.28
2021-04-13,924.54
2021-04-15,927.73
2021-04-16,928.33
2021-04-19,899.23
2021-04-20,901.52
2021-04-22,909.22
2021-04-23,895.73
2021-04-26,898.19
2021-04-27,906.13
2021-04-28,925.13
2021-04-29,911.75
2021-04-30,907.7
2021-05-03,905.86
2021-05-04,904.95
2021-05-05,917.28
2021-05-06,917.31
2021-05-07,913.59
2021-05-10,928.8
2021-05-11,950.54
2021-05-12,953.94
2021-05-14,942.93
2021-05-17,953.85
2021-05-18,954.2
2021-05-19,958.93
2021-05-20,965.69
2021-05-21,974.22
2021-05-24,984.35
2021-05-25,988.58
2021-05-26,997.14
2021-05-27,997.35
2021-05-28,995.62
2021-05-31,1011.43
2021-06-01,1006.44
2021-06-02,1027.3
2021-06-03,1030.93
2021-06-04,1044.14
2021-06-07,1076.12
2021-06-08,1086.3
2021-06-09,1078.19
2021-06-10,1087.4
2021-06-11,1090.51
2021-06-14,1091.41
2021-06-15,1081.73
2021-06-16,1083.16
2021-06-17,1088.45
2021-06-18,1076.6
2021-06-21,1067.97
2021-06-22,1073.83
2021-06-23,1076.2
2021-06-24,1072.72
2021-06-25,1073.73
2021-06-28,1076.1
2021-06-29,1069.27
2021-06-30,1062.25
2021-07-01,1064.38
2021-07-02,1082.11
2021-07-05,1088.48
2021-07-06,1090.94
2021-07-07,1089.27
2021-07-08,1090.54
2021-07-09,1091.29
2021-07-12,1088.96
2021-07-13,1086.41
2021-07-14,1103.03
2021-07-15,1106.69
2021-07-16,1090.15
2021-07-19,1085.12
2021-07-20,1072.53
2021-07-22,1100.16
2021-07-23,1092.7
2021-07-26,1095.46
2021-07-27,1099.9
2021-07-28,1090.37
2021-07-29,1095.71
2021-07-30,1117.88
2021-08-02,1117.27
2021-08-03,1124.34
2021-08-04,1121.57
2021-08-05,1113.36
2021-08-06,1115.61
2021-08-09,1108.08
2021-08-10,1086.3
2021-08-11,1073.51
2021-08-12,1095.83
2021-08-13,1096.81
2021-08-16,1078.92
2021-08-17,1066.35
2021-08-18,1083.22
2021-08-20,1068.28
2021-08-23,1061.41
2021-08-24,1083.37
2021-08-25,1106.39
2021-08-26,1113.86
2021-08-27,1132.28
2021-08-30,1148.76
2021-08-31,1145.87
2021-09-01,1141.78
2021-09-02,1156.06
2021-09-03,1167.51
2021-09-06,1164.14
2021-09-07,1165.26
2021-09-08,1162.14
2021-09-09,1170.64
2021-09-13,1177.95
2021-09-14,1220.49
2021-09-15,1233.05
2021-09-16,1235.99
2021-09-17,1228.11
2021-09-20,1197.7
2021-09-21,1192.87
2021-09-22,1211.13
2021-09-23,1221.82
2021-09-24,1214.66
2021-09-27,1211.31
2021-09-28,1207.49
2021-09-29,1216.31
2021-09-30,1236.36
2021-10-01,1235.29
2021-10-04,1274.08
2021-10-05,1279.59
2021-10-06,1257.89
2021-10-07,1268.68
2021-10-08,1279.07
2021-10-11,1317.44
2021-10-12,1334.09
2021-10-13,1332.36
2021-10-14,1354.11
2021-10-18,1393.52
2021-10-19,1365.38
2021-10-20,1328.34
2021-10-21,1324.33
2021-10-22,1270.08
2021-10-25,1275.52
2021-10-26,1312.68
2021-10-27,1331.29
2021-10-28,1304.29
2021-10-29,1313.11
2021-11-01,1317.51
2021-11-02,1319.79
2021-11-03,1314.24
2021-11-04,1335.2
2021-11-08,1379.15
2021-11-09,1403.89
2021-11-10,1391.06
2021-11-11,1410.25
2021-11-12,1422.75
2021-11-15,1435.06
2021-11-16,1428.88
2021-11-17,1425.1
2021-11-18,1408.17
2021-11-22,1379.73
2021-11-23,1407.93
2021-11-24,1413.82
2021-11-25,1430.63
2021-11-26,1371.67
2021-11-29,1368.29
2021-11-30,1394.52
2021-12-01,1420.94
2021-12-02,1423.85
2021-12-03,1423.8
2021-12-06,1425.86
2021-12-07,1437.61
2021-12-08,1425.64
2021-12-09,1431.79
2021-12-10,1428.58
2021-12-13,1420.86
2021-12-14,1409.75
2021-12-15,1399.96
2021-12-16,1384.02
2021-12-17,1354.24
2021-12-20,1293.72
2021-12-21,1298.33
2021-12-22,1331.49
2021-12-23,1335.01
2021-12-24,1312.67
2021-12-27,1307.4
2021-12-28,1321.06
2021-12-29,1327.86
2021-12-30,1328.13
2021-12-31,1344.78
2022-01-03,1346.14
2022-01-04,1363.46
2022-01-05,1370.28
2022-01-06,1360.94
2022-01-07,1357.44
2022-01-10,1368.09
2022-01-11,1360.74
2022-01-12,1366.91
2022-01-13,1366.74
2022-01-14,1394.52
2022-01-17,1399.98
2022-01-18,1369.75
2022-01-19,1380.29
2022-01-20,1399.17
2022-01-21,1378.68
2022-01-24,1335.18
2022-01-25,1386.1
2022-01-27,1382.1
2022-01-28,1389.84
2022-01-31,1391.42
2022-02-01,1389.28
2022-02-02,1400.66
2022-02-03,1403.77
2022-02-04,1386.19
2022-02-07,1372.9
2022-02-08,1364.33
2022-02-09,1374.67
2022-02-10,1362.97
2022-02-11,1343.31
2022-02-14,1302.68
2022-02-15,1324.38
2022-02-16,1323.41
