,Close
2020-12-24,5569.09
2020-12-28,5652.39
2020-12-29,5670.08
2020-12-30,5733.53
2020-12-31,5740.38
2021-01-01,5759.87
2021-01-04,5821.77
2021-01-05,5845.85
2021-01-06,5898.29
2021-01-07,5935.46
2021-01-08,6010.0
2021-01-11,5992.39
2021-01-12,5984.07
2021-01-13,5985.55
2021-01-14,5982.87
2021-01-15,5894.87
2021-01-18,5792.71
2021-01-19,5940.38
2021-01-20,5982.82
2021-01-21,5954.57
2021-01-22,5832.87
2021-01-25,5796.48
2021-01-27,5687.3
2021-01-28,5685.54
2021-01-29,5597.97
2021-02-01,5911.49
2021-02-02,6113.26
2021-02-03,6139.17
2021-02-04,6200.66
2021-02-05,6212.38
2021-02-08,6310.08
2021-02-09,6345.91
2021-02-10,6344.27
2021-02-11,6339.66
2021-02-12,6325.72
2021-02-15,6373.05
2021-02-16,6419.7
2021-02-17,6380.57
2021-02-18,6367.86
2021-02-19,6277.7
2021-02-22,6202.55
2021-02-23,6256.06
2021-02-24,6348.06
2021-02-25,6392.1
2021-02-26,6165.22
2021-03-01,6297.86
2021-03-02,6361.91
2021-03-03,6474.05
2021-03-04,6460.66
2021-03-05,6371.4
2021-03-08,6386.65
2021-03-09,6401.26
2021-03-10,6452.17
2021-03-12,6397.94
2021-03-15,6369.51
2021-03-16,6357.57
2021-03-17,6232.25
2021-03-18,6177.0
2021-03-19,6264.28
2021-03-22,6292.81
2021-03-23,6347.84
2021-03-24,6232.12
2021-03-25,6155.92
2021-03-26,6279.3
2021-03-30,6399.26
2021-03-31,6364.0
2021-04-01,6486.33
2021-04-05,6373.4
2021-04-06,6410.46
2021-04-07,6466.53
2021-04-08,6560.71
2021-04-09,6513.41
2021-04-12,6225.09
2021-04-13,6345.06
2021-04-15,6361.11
2021-04-16,6388.05
2021-04-19,6229.79
2021-04-20,6191.08
2021-04-22,6240.44
2021-04-23,6232.67
2021-04-26,6327.64
2021-04-27,6420.97
2021-04-28,6486.51
2021-04-29,6535.08
2021-04-30,6443.83
2021-05-03,6484.78
2021-05-04,6450.22
2021-05-05,6491.82
2021-05-06,6543.96
2021-05-07,6624.63
2021-05-10,6686.1
2021-05-11,6681.06
2021-05-12,6577.46
2021-05-14,6577.07
2021-05-17,6688.58
2021-05-18,6789.18
2021-05-19,6760.84
2021-05-20,6702.54
2021-05-21,6794.93
2021-05-24,6819.68
2021-05-25,6834.81
2021-05-26,6828.33
2021-05-27,6870.65
2021-05-28,6864.41
2021-05-31,6939.76
2021-06-01,6888.44
2021-06-02,6920.85
2021-06-03,7002.42
2021-06-04,7004.11
2021-06-07,7060.03
2021-06-08,7022.94
2021-06-09,6971.72
2021-06-10,7023.78
2021-06-11,7037.27
2021-06-14,7031.4
2021-06-15,7088.66
