,Close
2020-12-24,3338.24
2020-12-28,3391.85
2020-12-29,3384.78
2020-12-30,3397.57
2020-12-31,3423.45
2021-01-01,3443.5
2021-01-04,3471.69
2021-01-05,3452.54
2021-01-06,3461.93
2021-01-07,3499.84
2021-01-08,3500.27
2021-01-11,3472.9
2021-01-12,3458.24
2021-01-13,3439.28
2021-01-14,3436.52
2021-01-15,3390.74
2021-01-18,3360.3
2021-01-19,3410.5
2021-01-20,3423.89
2021-01-21,3388.27
2021-01-22,3356.65
2021-01-25,3316.33
2021-01-27,3290.13
2021-01-28,3301.38
2021-01-29,3253.74
2021-02-01,3316.45
2021-02-02,3346.12
2021-02-03,3352.3
2021-02-04,3427.94
2021-02-05,3414.82
2021-02-08,3482.9
2021-02-09,3464.28
2021-02-10,3444.85
2021-02-11,3457.34
2021-02-12,3505.55
2021-02-15,3533.31
2021-02-16,3484.33
2021-02-17,3477.49
2021-02-18,3487.31
2021-02-19,3456.51
2021-02-22,3428.75
2021-02-23,3473.65
2021-02-24,3505.78
2021-02-25,3554.27
2021-02-26,3535.16
2021-03-01,3626.48
2021-03-02,3661.55
2021-03-03,3743.5
2021-03-04,3815.81
2021-03-05,3739.51
2021-03-08,3747.25
2021-03-09,3714.36
2021-03-10,3727.61
2021-03-12,3695.97
2021-03-15,3662.91
2021-03-16,3624.38
2021-03-17,3566.47
2021-03-18,3492.06
2021-03-19,3484.35
2021-03-22,3521.5
2021-03-23,3547.75
2021-03-24,3449.0
2021-03-25,3342.88
2021-03-26,3380.48
2021-03-30,3365.2
2021-03-31,3398.56
2021-04-01,3433.04
2021-04-05,3305.86
2021-04-06,3301.22
2021-04-07,3344.91
2021-04-08,3357.53
2021-04-09,3382.34
2021-04-12,3193.82
2021-04-13,3231.94
2021-04-15,3200.89
2021-04-16,3201.16
2021-04-19,3108.57
2021-04-20,3159.23
2021-04-22,3191.53
2021-04-23,3223.89
2021-04-26,3307.03
2021-04-27,3388.83
2021-04-28,3380.43
2021-04-29,3372.91
2021-04-30,3354.23
2021-05-03,3355.39
2021-05-04,3300.28
2021-05-05,3320.76
2021-05-06,3343.64
2021-05-07,3298.11
2021-05-10,3350.87
2021-05-11,3424.8
2021-05-12,3405.11
2021-05-14,3393.21
2021-05-17,3434.84
2021-05-18,3554.02
2021-05-19,3607.43
2021-05-20,3574.3
