,Close
2020-12-24,6871.15
2020-12-28,6991.53
2020-12-29,6970.16
2020-12-30,6969.19
2020-12-31,6980.09
2021-01-01,7119.87
2021-01-04,7241.18
2021-01-05,7341.56
2021-01-06,7419.38
2021-01-07,7631.82
2021-01-08,7633.09
2021-01-11,7536.97
2021-01-12,7630.05
2021-01-13,7542.82
2021-01-14,7558.0
2021-01-15,7508.05
2021-01-18,7302.15
2021-01-19,7553.77
2021-01-20,7614.78
2021-01-21,7448.58
2021-01-22,7277.52
2021-01-25,7187.51
2021-01-27,7013.97
2021-01-28,6934.6
2021-01-29,7024.48
2021-02-01,7390.76
2021-02-02,7564.46
2021-02-03,7711.71
2021-02-04,7786.7
2021-02-05,7699.75
2021-02-08,7824.71
2021-02-09,7852.75
2021-02-10,7933.17
2021-02-11,8026.86
2021-02-12,8014.72
2021-02-15,8253.11
2021-02-16,8282.81
2021-02-17,8298.56
2021-02-18,8378.44
2021-02-19,8257.32
2021-02-22,8057.59
2021-02-23,8163.71
2021-02-24,8321.98
2021-02-25,8461.69
2021-02-26,8232.38
2021-03-01,8324.0
2021-03-02,8404.84
2021-03-03,8667.1
2021-03-04,8711.01
2021-03-05,8501.86
2021-03-08,8505.48
2021-03-09,8474.67
2021-03-10,8544.37
2021-03-12,8512.37
2021-03-15,8371.16
2021-03-16,8428.08
2021-03-17,8211.18
2021-03-18,8093.03
2021-03-19,8207.01
2021-03-22,8214.53
2021-03-23,8289.56
2021-03-24,8074.07
2021-03-25,7913.87
2021-03-26,8032.6
2021-03-30,8157.43
2021-03-31,8138.49
2021-04-01,8323.66
2021-04-05,8067.64
2021-04-06,8122.15
2021-04-07,8305.93
2021-04-08,8300.39
2021-04-09,8210.85
2021-04-12,7565.74
2021-04-13,7820.48
2021-04-15,7742.5
2021-04-16,7762.21
2021-04-19,7474.06
2021-04-20,7514.31
2021-04-22,7590.59
2021-04-23,7661.24
2021-04-26,7653.9
2021-04-27,7781.74
2021-04-28,7991.41
2021-04-29,7946.97
2021-04-30,7795.76
2021-05-03,7691.73
2021-05-04,7694.63
2021-05-05,7753.24
2021-05-06,7802.52
2021-05-07,7785.44
2021-05-10,7849.47
2021-05-11,7921.46
2021-05-12,7867.34
