,Close
2020-12-24,7192.77
2020-12-28,7262.9
2020-12-29,7273.42
2020-12-30,7330.82
2020-12-31,7332.67
2021-01-01,7388.92
2021-01-04,7443.47
2021-01-05,7467.39
2021-01-06,7481.12
2021-01-07,7509.56
2021-01-08,7623.98
2021-01-11,7691.23
2021-01-12,7713.39
2021-01-13,7721.43
2021-01-14,7737.44
2021-01-15,7695.79
2021-01-18,7573.76
2021-01-19,7714.5
2021-01-20,7789.5
2021-01-21,7760.57
2021-01-22,7684.23
2021-01-25,7631.84
2021-01-27,7516.47
2021-01-28,7478.56
2021-01-29,7335.64
2021-02-01,7658.64
2021-02-02,7884.36
2021-02-03,7943.16
2021-02-04,8056.06
2021-02-05,8021.45
2021-02-08,8134.31
2021-02-09,8131.4
2021-02-10,8147.04
2021-02-11,8166.36
2021-02-12,8113.97
2021-02-15,8183.79
2021-02-16,8186.89
2021-02-17,8165.99
2021-02-18,8129.01
2021-02-19,8022.23
2021-02-22,7861.14
2021-02-23,7903.58
2021-02-24,7977.37
2021-02-25,8030.63
2021-02-26,7776.79
2021-03-01,7896.4
2021-03-02,8015.81
2021-03-03,8104.66
2021-03-04,8083.43
2021-03-05,7993.41
2021-03-08,7973.61
2021-03-09,7996.65
2021-03-10,8052.25
2021-03-12,7961.71
2021-03-15,7917.09
2021-03-16,7943.24
2021-03-17,7827.03
2021-03-18,7811.18
2021-03-19,7913.3
2021-03-22,7947.66
2021-03-23,7979.28
2021-03-24,7835.77
2021-03-25,7671.69
2021-03-26,7792.17
2021-03-30,7891.53
2021-03-31,7874.97
2021-04-01,7969.02
2021-04-05,7802.88
2021-04-06,7855.65
2021-04-07,7934.62
2021-04-08,7978.32
2021-04-09,7954.02
2021-04-12,7602.27
2021-04-13,7772.49
2021-04-15,7749.9
2021-04-16,7827.91
2021-04-19,7638.51
2021-04-20,7618.61
2021-04-22,7628.95
2021-04-23,7615.79
2021-04-26,7677.43
2021-04-27,7732.41
2021-04-28,7841.96
2021-04-29,7813.78
2021-04-30,7696.56
2021-05-03,7754.26
2021-05-04,7702.78
2021-05-05,7749.82
2021-05-06,7811.94
2021-05-07,7854.05
2021-05-10,7904.05
2021-05-11,7909.48
2021-05-12,7882.78
2021-05-14,7902.54
2021-05-17,7999.92
2021-05-18,8098.47
2021-05-19,8064.59
2021-05-20,8038.35
2021-05-21,8133.13
2021-05-24,8155.97
2021-05-25,8176.42
2021-05-26,8221.52
2021-05-27,8237.94
2021-05-28,8241.02
2021-05-31,8292.5
2021-06-01,8286.06
2021-06-02,8312.38
2021-06-03,8379.01
2021-06-04,8401.81
2021-06-07,8448.65
2021-06-08,8469.87
2021-06-09,8403.69
2021-06-10,8468.13
2021-06-11,8458.86
2021-06-14,8453.14
2021-06-15,8496.95
2021-06-16,8448.11
2021-06-17,8387.72
2021-06-18,8343.14
2021-06-21,8380.51
2021-06-22,8416.33
2021-06-23,8405.19
2021-06-24,8408.07
2021-06-25,8455.2
2021-06-28,8438.28
2021-06-29,8399.73
2021-06-30,8365.14
2021-07-01,8361.01
2021-07-02,8364.39
2021-07-05,8413.2
2021-07-06,8415.87
2021-07-07,8454.67
2021-07-08,8400.99
2021-07-09,8411.15
2021-07-12,8429.82
2021-07-13,8471.6
2021-07-14,8469.44
2021-07-15,8482.24
2021-07-16,8506.26
2021-07-19,8448.88
2021-07-20,8414.86
2021-07-22,8496.27
2021-07-23,8503.61
2021-07-26,8489.1
2021-07-27,8454.86
2021-07-28,8452.99
2021-07-29,8455.66
2021-07-30,8458.75
2021-08-02,8530.73
2021-08-03,8655.88
2021-08-04,8630.55
2021-08-05,8623.44
2021-08-06,8603.15
2021-08-09,8575.79
2021-08-10,8544.88
2021-08-11,8523.4
2021-08-12,8550.08
2021-08-13,8596.49
2021-08-16,8569.36
2021-08-17,8585.24
2021-08-18,8607.0
2021-08-20,8565.74
2021-08-23,8513.95
2021-08-24,8554.71
2021-08-25,8550.31
2021-08-26,8530.69
2021-08-27,8598.13
2021-08-30,8755.0
2021-08-31,8906.54
2021-09-01,8917.91
2021-09-02,8988.26
2021-09-03,9004.5
2021-09-06,9016.78
2021-09-07,9074.37
2021-09-08,9065.74
2021-09-09,9117.58
2021-09-13,9153.87
2021-09-14,9186.04
2021-09-15,9253.6
2021-09-16,9300.7
2021-09-17,9282.51
2021-09-20,9148.31
2021-09-21,9216.55
2021-09-22,9260.03
2021-09-23,9335.67
2021-09-24,9332.48
2021-09-27,9378.81
2021-09-28,9296.02
2021-09-29,9291.7
2021-09-30,9263.73
2021-10-01,9228.82
2021-10-04,9328.44
2021-10-05,9383.47
2021-10-06,9304.63
2021-10-07,9420.65
2021-10-08,9418.23
2021-10-11,9525.34
2021-10-12,9576.69
2021-10-13,9717.6
2021-10-14,9772.89
2021-10-18,9834.05
2021-10-19,9650.56
2021-10-20,9560.93
2021-10-21,9537.38
2021-10-22,9476.62
2021-10-25,9354.72
2021-10-26,9495.96
2021-10-27,9517.22
2021-10-28,9398.7
2021-10-29,9364.53
2021-11-01,9501.26
2021-11-02,9514.67
2021-11-03,9507.12
2021-11-04,9573.52
2021-11-08,9687.88
2021-11-09,9710.48
2021-11-10,9729.82
2021-11-11,9636.73
2021-11-12,9739.29
2021-11-15,9770.78
2021-11-16,9753.71
2021-11-17,9747.04
2021-11-18,9640.48
2021-11-22,9454.87
2021-11-23,9544.1
2021-11-24,9479.21
2021-11-25,9497.43
2021-11-26,9177.73
2021-11-29,9111.46
2021-11-30,9079.93
2021-12-01,9157.2
2021-12-02,9284.83
2021-12-03,9219.92
2021-12-06,9085.8
2021-12-07,9200.4
2021-12-08,9357.37
2021-12-09,9410.86
2021-12-10,9435.51
2021-12-13,9367.35
2021-12-14,9318.25
2021-12-15,9274.67
2021-12-16,9238.31
2021-12-17,9043.06
2021-12-20,8814.16
2021-12-21,8896.53
2021-12-22,9000.4
2021-12-23,9066.46
2021-12-24,8983.01
2021-12-27,8997.23
2021-12-28,9104.75
2021-12-29,9084.05
2021-12-30,9052.25
2021-12-31,9165.75
2022-01-03,9287.22
2022-01-04,9352.85
2022-01-05,9427.93
2022-01-06,9404.63
2022-01-07,9447.03
2022-01-10,9550.69
2022-01-11,9566.07
2022-01-12,9683.91
2022-01-13,9698.35
2022-01-14,9656.86
2022-01-17,9760.03
2022-01-18,9578.55
2022-01-19,9528.96
2022-01-20,9495.48
2022-01-21,9380.8
2022-01-24,9105.78
2022-01-25,9240.63
2022-01-27,9181.52
2022-01-28,9234.8
2022-01-31,9341.04
2022-02-01,9415.41
2022-02-02,9490.87
2022-02-03,9420.79
2022-02-04,9382.9
2022-02-07,9265.48
2022-02-08,9247.08
2022-02-09,9348.24
2022-02-10,9389.0
2022-02-11,9245.77
2022-02-14,8901.61
2022-02-15,9183.15
2022-02-16,9184.38
2022-02-17,9198.53
2022-02-18,9163.13
2022-02-21,9091.23
2022-02-22,9032.35
2022-02-23,9039.47
2022-02-24,8565.34
2022-02-25,8820.22
2022-02-28,8824.16
